,asin,category,color,description,name
10,B0002ZJBYE,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Jewelry
            


             ›
         


                Earrings
            


             ›
         


                 Stud","[<div class=""a-row a-spacing-micro"">
<h2 class=""a-size-large a-spacing-none si_title"">
                    
                        
                            3-Year Jewelry Protection Plan
                        
                        
                    
                </h2>
<span class=""a-size-base a-color-secondary si_provider"">
                    from SquareTrade
                </span>
</div>, <div class=""a-row a-spacing-micro"">
<ul class=""a-unordered-list a-vertical a-spacing-none si_bullets"">
<li><span class=""a-list-item"">
                                    All our diamond suppliers confirm that they comply with the Kimberley Process to ensure that their diamonds are conflict free.
                                </span></li>
</ul>
</div>]","Individually Boxed Stud Earring Set
							
						
 
							The natural properties and composition of mined gemstones define the unique beauty of each piece. The image may show slight differences to the actual stone in color and texture
							
						
 
							Imported","Sterling Silver Peridot, Garnet, Amethyst, Blue Topaz and Citrine"
11,B0089YHMPU,unknown category,unknown color,unknown details,unknown product name
12,B002GHCI9G,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Clothing
            


             ›
         


                Jackets & Coats
            


             ›
         


                Active & Performance
            


             ›
         


                 Shells","[<span class=""selection"">
    
        Black
    
</span>]","100% Cotton
							
						
 
							Imported
							
						
 
							Machine Wash
							
						
 
							Left-chest pocket with zipper closure
							
						
 
							Two inside pockets
							
						
 
							Two sherpa-lined lower-front pockets
							
						
 
							Pleated elbows
							
						
 
							Inner-sleeve, rib-knit storm cuffs",Carhartt Men's Big & Tall Sherpa Lined Sandstone Sierra Jacket J141
13,B008CNJJR2,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Shoes
            


             ›
         


                 Fashion Sneakers","[<span class=""selection"">7 M US</span>, <span class=""selection"">Taupe</span>]","100% Synthetic
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							Manmade Sole
							
						
 
							Great for everyday wear
							
						
 
							Must-have for every wardrobe
							
						
 
							Wanted - Trusted Brand",Wanted Shoes Women's Bowery Fashion Sneaker
14,B000TGQA86,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Clothing
            


             ›
         


                Underwear
            


             ›
         


                 Boxers","[<span class=""selection"">
    
        White
    
</span>]","100% Cotton
							
						
 
							Imported
							
						
 
							Machine Wash
							
						
 
							Elastic Calvin Klein logo waistband
							
						
 
							Functional button fly
							
						
 
							Soft cotton
							
						
 
							Bold prints and design
							
						
 
							Light weight",Calvin Klein Men's Boxer Matrix-Knit Slim Fit Boxer
15,B0058C6NLK,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Shoes
            


             ›
         


                Athletic
            


             ›
         


                Running
            


             ›
         


                 Road Running","[<div class=""a-row a-spacing-micro"">
<strong>
                          Size:
                        </strong>
            9.5
                    </div>, <div class=""a-row a-spacing-micro"">
<strong>
                          Color:
                        </strong>
            Neon Orange/White/Turquoise
                    </div>]","Synthetic and mesh
							
						
 
							Rubber sole
							
						
 
							Brand New
							
						
 
							100% Authentic
							
						
 
							Original Packaging",ASICS Men's GEL-Noosa Tri 7 Running Shoe
16,B005SUWSDY,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Jewelry
            


             ›
         


                Necklaces
            


             ›
         


                 Pendants","[<span class=""selection"">
    
        Sterling Silver
    
</span>]","CLOSE TO YOUR HEART – This lovely necklace from our Loving Family collection shines with the gleam of genuine 925 Silver that’s nickel-free and safe for sensitive skin. Removable swirly heart-shaped pendant on fine box chain. MEASUREMENT: Pendant: 1 1/4 inches long by 1 inch wide; Chain: 18 inches long with spring ring clasp.
							
						
 
							AN AFFORDABLE GIFT– The special lady in your life deserves to feel fabulous. Indulge your mom, grandmother, daughter, wife, girlfriend, best friend or even yourself! Packaged in a signature gift box, it’s perfect for any gifting occasion like a birthday or anniversary, congratulations or thank-you. Whether you want to surprise someone with a unique present or simply celebrate a milestone or holiday, our American designed and crafted jewelry shows your loved one how much you really care.
							
						
 
							UNIQUE DESIGN – This original Loving Family design is a statement of your devotion and love for the people closest to your heart. You’ll be reminded of your loved ones – be it mom, dad, sister, brother, daughter or son, or your chosen family – from the moment you put it on, and all throughout your busy day. This stunningly simple piece is a beautiful way to keep connected anywhere you go – whether at work, school, a Saturday outing, a night out with BFFs or a special party or social event.
							
						
 
							LOVINGLY CRAFTED – We’ve been creating jewelry with social responsibility and environmentally friendly ways since 1975, and we’re proud to share our legacy with you. Made from sterling silver with 92.5% recycled silver metal, this original piece is handmade in Albuquerque, New Mexico, USA by our in-house jewelry makers. Our experienced artisans have honed their craft for decades and hold to the highest standards of quality. Feel confident buying, wearing, and gifting our jewelry!
							
						
 
							BUY WITH CONFIDENCE! – At Carolyn Pollack Sterling Jewelry, our exceptional quality is backed with a 1-year limited warranty. All our products are made of hypoallergenic 925 sterling silver that is nickel-free, safe for those with sensitive skin to wear everyday. We’re confident you will love our products on Amazon, but if for any reason you aren’t completely satisfied, all our products feature a 100% Money Back No Questions Asked 30-Day Total Happiness Guarantee. Rest assured and order today!","Loving Family Sterling Silver 18"" Loving Family Freeform Spiral Heart Necklace Choice of Sterling Silver, Rose or Yellow Gold"
17,B003Z6PDVW,unknown category,unknown color,unknown details,unknown product name
18,B000AM9W5W,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Clothing
            


             ›
         


                 Jeans","[<span class=""selection"">
    
        Jagger
    
</span>]","100% Cotton
							
						
 
							Imported
							
						
 
							Zipper closure
							
						
 
							Wash And Dry Inside Out With Like Colors; Liquid Detergent Is Recommended
							
						
 
							ORIGINAL LEVI'S JEANS: For over 150 years, Levi's has created products for those who value craftsmanship, quality, utility and style
							
						
 
							LEVI'S 569: These jeans feature a modern laid back fit with a roomy fit for added comfort that isn't baggy complete with a zip fly and 5 Pocket Styling
							
						
 
							SIZE & FIT: These 569 jeans sit below the waist with extra room in the seat and thigh featuring a straight leg opening measuring 18.5""",Levi's Men's Loose 569 Straight Leg Jean
19,B007JF0UEK,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Clothing
            


             ›
         


                Pants
            


             ›
         


                 Casual","[<span class=""selection"">
    
        Black
    
</span>]","94% Cotton, 6% Spandex
							
						
 
							Imported
							
						
 
							Machine Wash
							
						
 
							Shapetastic compression mesh panel that lifts the seat and flattens the tummy
							
						
 
							Incredible bi-stretch fabric hugs your figure in all the right places",Lee Women's Perfect Fit Nancy Barely Bootcut Pant
20,B002SW3SNY,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Shoes
            


             ›
         


                 Pumps","[<div class=""a-row a-spacing-micro"">
<strong>
                          Size:
                        </strong>
            8.5
                    </div>, <div class=""a-row a-spacing-micro"">
<strong>
                          Color:
                        </strong>
            Pink
                    </div>]","100% Suede
							
						
 
							Synthetic sole
							
						
 
							Heel measures approximately 3""
							
						
 
							Platform measures approximately 1/2""
							
						
 
							Memory fit foam",Dr. Scholl's Women's Balance Wedge Pump
21,B00I2ZHTHM,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Clothing
            


             ›
         


                Active
            


             ›
         


                 Active Shirts & Tees","[<span class=""selection"">
    
        White
    
</span>]","100% Polyester
							
						
 
							Imported
							
						
 
							Machine Wash
							
						
 
							Interlock jersey T-shirt featuring tag-free neckline and double-needle stitching
							
						
 
							50+ UPF rating",Hanes Sport Women's Cool DRI Performance V-Neck Tee
22,B003P2VHKC,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Maternity
            


             ›
         


                Intimates
            


             ›
         


                 Nursing & Maternity Bras","[<span class=""selection"">
    
        Black/Natural
    
</span>]","75% Nylon/25% Spandex - Arrieres (Back): 83% Nylon/17% Spandex
							
						
 
							Imported
							
						
 
							Hook and Eye closure
							
						
 
							Hand wash warm, no bleach, line dry, do not iron
							
						
 
							THE LE MYSTERE SEXY MAMA NURSING BRA: Your life has changed, so should your bra. Our Sexy Mama has everything you’re looking for — an easy, one-hand clasp, lined cups, a contour silhouette — with indulgent design details that make it the perfect nursing bra.
							
						
 
							FUNCTIONAL AND STYLISH: When folded in half, the cups comfortably rest against your body at an angle ideal for feedings and provides much-needed support.
							
						
 
							THE LE MYSTERE TOUCH: Our Sexy Mama Nursing Bra features thoughtful details like a contour underwire design, fine padding, and a five-row hook-and-eye closure.","Le Mystere Women's Sexy Mama Nursing Bra, Lace Nursing Bra with Scalloped Trim and Adjustable Shoulder Straps"
23,B0070XFF7I,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Jewelry
            


             ›
         


                Necklaces
            


             ›
         


                 Chains",unavailable,"Metal:Stainless Steel
							
						
 
							Features: High Polished
							
						
 
							Necklace Length: 18
							
						
 
							Necklace Chain:Cable Chain
							
						
 
							Closure:Toggle Clasp","Noureda High Polished Stainless Steel Heart Charm Cable Chain Necklace with Toggle Clasp (Length: 18"")"
24,B008YGFQGA,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Jewelry
            


             ›
         


                Earrings
            


             ›
         


                 Stud",unavailable,"Stainless Steel
							
						
 
							Cz Clear Color Stones
							
						
 
							Push-back secure backing
							
						
 
							Size 3mm, 4mm, 5mm, 6mm, 7mm
							
						
 
							5 Pair Set Comes with Free Gift Box","Jinique 5 Pair(3,4,5,6,7mm) Stainless Steel Round Clear Cz Stud Earring Set"
25,B000LTAY1U,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Watches
            


             ›
         


                 Wrist Watches","[<div class=""a-row a-spacing-micro"">
<h2 class=""a-size-large a-spacing-none si_title"">
                    
                        
                            4 Year Watch Protection Plan
                        
                        
                    
                </h2>
<span class=""a-size-base a-color-secondary si_provider"">
                    from Asurion, LLC
                </span>
</div>, <div class=""a-row a-spacing-micro"">
<ul class=""a-unordered-list a-vertical a-spacing-none si_bullets"">
<li><span class=""a-list-item"">
                                    Covers broken watchband, movement failures, cracked crystal, bezel damage and more. Includes a 1-time refurbishment.
                                </span></li>
<li><span class=""a-list-item"">
                                    No deductibles or hidden fees. Free shipping on all repairs. Fully transferable.
                                </span></li>
<li><span class=""a-list-item"">
                                    Easy claims process online or by phone 24/7. If we can't fix it, we will send you an Amazon e-Card for full replacement value.
                                </span></li>
<li><span class=""a-list-item"">
                                    Coverage begins date of purchase and is inclusive of the manufacturer's warranty. Plan is fully refunded if canceled within 30 days.
                                </span></li>
<li><span class=""a-list-item"">
                                    Plan contract will be emailed from Asurion within 48 hours of purchase. This will not ship with your product.
                                </span></li>
</ul>
</div>]","Imported
							
						
 
							Military-inspired timepiece featuring green dial, luminous accents, and day/date functions.Case dimensions: 37mm,Strap length: 7 inch
							
						
 
							Automatic movement with analog display
							
						
 
							Features green nylon strap with buckle closure. When setting the minute hand of a quartz watch, advance it to a few minutes ahead of the time and then turn it back to the exact time
							
						
 
							Water resistant to 30 m (99 ft): In general, withstands splashes or brief immersion in water, but not suitable for swimming.",Seiko Men's SNK805 Seiko 5 Automatic Stainless Steel Watch with Green Canvas
26,B003TU137W,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Shoes
            


             ›
         


                 Sandals","[<div class=""a-row a-spacing-micro"">
<strong>
                          Size:
                        </strong>
            10.5
                    </div>, <div class=""a-row a-spacing-micro"">
<strong>
                          Color:
                        </strong>
            Beluga
                    </div>]","100% Synthetic
							
						
 
							Rubber sole
							
						
 
							Hybrid closed-toe sandal featuring bungee lacing System, adjustable hook-and-loop strap with logo embroidery, and rear pull-loop strap
							
						
 
							Shock-absorbing encapsulated ShocPad technology
							
						
 
							Microban zinc-based odor-resistant treatment",Teva Men's Dozer III Closed-Toe Sandal
27,B0058C6NUG,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Shoes
            


             ›
         


                Athletic
            


             ›
         


                Running
            


             ›
         


                 Road Running","[<span class=""selection"">9</span>, <span class=""selection"">Black/Lightning/Electric Apple</span>]","100% Synthetic and Mesh
							
						
 
							Rubber sole
							
						
 
							Impact Guidance System (I.G.S.)
							
						
 
							ASICS design philosophy that employs linked componentry to enhance the foot's natural gait from heel strike to toe-off.
							
						
 
							Heel Clutching System
							
						
 
							Exoskeletal heel counter provides improved support and creates improved heel fitting environment.
							
						
 
							Guidance Line",ASICS Men's GEL-Excel33 Running Shoe
28,B0089H0AJM,unknown category,unknown color,unknown details,unknown product name
29,B00IZMUUXW,unknown category,unknown color,unknown details,unknown product name
30,B005FFF9VK,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Clothing
            


             ›
         


                Lingerie, Sleep & Lounge
            


             ›
         


                Lingerie
            


             ›
         


                Bras
            


             ›
         


                 Everyday Bras","[<div class=""a-row a-spacing-micro"">
<strong>
                          Size:
                        </strong>
            36C
                    </div>, <div class=""a-row a-spacing-micro"">
<strong>
                          Color:
                        </strong>
            Café/Diamond
                    </div>]","Fabric: 84% Nylon/16% Lycra; Lace: 70% Nylon/20% Spandex/10% Rayon
							
						
 
							Hand Wash
							
						
 
							Cotton-lined gusset
							
						
 
							Flat lace trim",Josie by Natori Womens Etoile 3/4 Contour Plunge Bra
31,B0098Z0I4Q,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Shoes
            


             ›
         


                 Pumps","[<span class=""selection"">
    
        Metallic/Metallic Snake Trim
    
</span>]","100% Polyurethane
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							Heel Height: 1 3/4""
							
						
 
							Fit: True to Size
							
						
 
							Outsole: Rubber
							
						
 
							Upper: Synthetic",Easy Street Women's Elena Pump
32,B003379XL4,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Accessories
            


             ›
         


                Wallets, Card Cases & Money Organizers
            


             ›
         


                 Wallets",unavailable,"Genuine Lambskin Leather
							
						
 
							Bi-fold
							
						
 
							Twelve Credit Card slots; Four window insert for pictures
							
						
 
							Three Double Stitched Windows for Driver's License,
							
						
 
							Double Interior Leaf Design; Two separated bill compartments",Dangerous Threads Mens Black Leather Wallet Lamb Bifold Triple Window #786
33,B005C6BAJW,"Clothing, Shoes & Jewelry
            


             ›
         


                Baby
            


             ›
         


                Baby Boys
            


             ›
         


                Shoes
            


             ›
         


                 Clogs & Mules","[<span class=""selection"">Toddler (1-4 Years)</span>, <span class=""selection"">
    
        Oyster/Pink Lemonade
    
</span>]","100% Manmade
							
						
 
							Synthetic sole
							
						
 
							The solid-to-translucent Chameleons come equipped with the comfortable footbed that made Crocs famous.",Crocs Kids' Chameleons Translucent Clog
34,B008SOIVM4,unknown category,unknown color,unknown details,unknown product name
35,B0098IISF4,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Shoes
            


             ›
         


                Athletic
            


             ›
         


                 Fitness & Cross-Training","[<span class=""selection"">
    
        White/Navy
    
</span>]","100% Leather and mesh
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							This is a stability trainer with ROLLBAR technology and a lateral TPU support to assist over pronation
							
						
 
							EVA foam midsole
							
						
 
							Non-marking outsole
							
						
 
							Comfort zone for bunions",New Balance Men's MX857 Cross-Training Shoe
36,B001FF9AWS,unknown category,unknown color,unknown details,unknown product name
37,B009V1HZFW,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Jewelry
            


             ›
         


                Earrings
            


             ›
         


                 Stud",unavailable,"THIS PRICE IS FOR TWO PAIRS OF EARRINGS!
							
						
 
							These stud earrings measure .75 inches left to right, .5 inches top to bottom.
							
						
 
							Great Quality Jewelry!",2 Pairs of Silvertone with Clear Iced Out Mini Style Bow Stud Earrings (R-2231)
38,B0046G40VE,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Shoes
            


             ›
         


                 Loafers & Slip-Ons","[<span class=""selection"">
    
        British Tan/Brown
    
</span>]","100% Leather
							
						
 
							Rubber sole
							
						
 
							Boat shoe with functional slotted collar, padded ankle, and grip-textured outsole
							
						
 
							Perforated tongue",Sebago Men's Triton Three-Eye Boat Shoe
39,B00EIVHW9E,unknown category,unknown color,unknown details,unknown product name
40,B003XKSC5O,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Handbags & Wallets
            


             ›
         


                 Shoulder Bags",unavailable,"cotton
							
						
 
							Brand New (NEVER EVER USED) and 100% authentic with original tags. Vera Bradley Bag.
							
						
 
							This features 32"" adjustable straps with buckles, large zip pocket on back, 2 inside slip pockets with decorative flaps. Inside there are 3 more slip pockets plus removeable base.
							
						
 
							This measures 9""(h) x 11"" (w)x 4.25""(d).
							
						
 
							This is very hard to find but I do have it In Stock NOW & ready to ship.
							
						
 
							This retails for $63.00 in stores.",Vera Bradley On The Go Purse Bag in Very Berry Paisley
41,B00AKATFSI,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Clothing
            


             ›
         


                Swimsuits & Cover Ups
            


             ›
         


                Bikinis
            


             ›
         


                 Bottoms","[<div class=""a-row a-spacing-micro"">
<strong>
                          Size:
                        </strong>
            X-Large
                    </div>, <div class=""a-row a-spacing-micro"">
<strong>
                          Color:
                        </strong>
            Black
                    </div>]","82% Nylon/18% Spandex
							
						
 
							Imported
							
						
 
							Hand Wash
							
						
 
							Gathering on the side
							
						
 
							Regular hipster attached inside",Ocean Avenue Women's Ruffle Skirted Bottom
42,B00A2Y1VWU,unknown category,unknown color,unknown details,unknown product name
43,B001UV3JDS,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Shoes
            


             ›
         


                 Pumps","[<div class=""a-row a-spacing-micro"">
<strong>
                          Size:
                        </strong>
            11 M US
                    </div>, <div class=""a-row a-spacing-micro"">
<strong>
                          Color:
                        </strong>
            Brown Nappa
                    </div>]","100% Leather
							
						
 
							Synthetic sole
							
						
 
							Heel measures approximately 2 1/2""
							
						
 
							Platform measures approximately 1/2""
							
						
 
							Stitch-to-sole construction creates a lightweight feel that helps relieve foot fatigue.
							
						
 
							Shock-absorbing polyurethane outsole cushions heel strike, eliminating body stress.
							
						
 
							Removable polyurethane foam footbed helps alleviate ball-of-foot stress.",Dansko Women's Beth Pump
44,B009I37B5W,unknown category,unknown color,unknown details,unknown product name
45,B0088WAS9U,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Watches
            


             ›
         


                 Wrist Watches","[<span class=""selection"">
    
        Blue/Gold-Tone
    
</span>]","Gold-tone watch featuring white dial with Indiglo night-light and easy-to-read Arabic numerals
							
						
 
							30 mm brass case with mineral dial window
							
						
 
							Quartz movement with analog display
							
						
 
							Leather calfskin band with buckle closure
							
						
 
							Water resistant to 30 m (99 ft)",Timex Women's Easy Reader Leather Strap 30mm Watch
46,B001PN0GSC,"Clothing, Shoes & Jewelry
            


             ›
         


                 Women","[<span class=""selection"">
    
        Black Industrial Net
    
</span>]","100% Nylon
							
						
 
							Imported
							
						
 
							Pull On closure
							
						
 
							Hand Wash
							
						
 
							Highly Recommended Hand wash in Cold Water, Do not Bleach, Drip Dry, or Iron
							
						
 
							High quality material and ideal for daily use.",Leg Avenue Women's Crotchless Fleur de Lace Tights
47,B004NNXL4M,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Shoes
            


             ›
         


                 Loafers & Slip-Ons","[<span class=""selection"">
    
        Light Grey
    
</span>]","100% Fabric
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							Soft skimmer featuring elastic insets at entry and small stash pocket at vamp
							
						
 
							Striped midsole",Sanuk Women's Pick Pocket Fleece Flat
48,B007OUFMAW,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Clothing
            


             ›
         


                Pants
            


             ›
         


                 Casual","[<span class=""selection"">
    
        Military
    
</span>]","97% Cotton/3% Spandex
							
						
 
							Imported
							
						
 
							Machine Wash
							
						
 
							Straight-leg pant featuring five-pocket styling and classic fit
							
						
 
							Look and feel a size smaller
							
						
 
							Instantly slims you tummy panel
							
						
 
							Leg Opening: 16.5"", Inseam: 31""",Lee Women's Classic Fit Jackie O Straight-Leg Pant
